pcd7,oa11cd,Street,City,County
BS13DS,E00174243,Bristol 025E,Bristol 025,Bristol
BS13DT,E00174294,Bristol 032B,Bristol 032,Bristol
BS13DU,E00174243,Bristol 025E,Bristol 025,Bristol
BS13DW,E00174243,Bristol 025E,Bristol 025,Bristol
BS13DX,E00174294,Bristol 032B,Bristol 032,Bristol
BS13DY,E00174294,Bristol 032B,Bristol 032,Bristol
BS13DZ,E00174294,Bristol 032B,Bristol 032,Bristol
BS13EA,E00174294,Bristol 032B,Bristol 032,Bristol
BS13EB,E00174294,Bristol 032B,Bristol 032,Bristol
BS13ED,E00174243,Bristol 025E,Bristol 025,Bristol
BS13EE,E00174243,Bristol 025E,Bristol 025,Bristol
BS13EF,E00174294,Bristol 032B,Bristol 032,Bristol
BS13EG,E00174243,Bristol 025E,Bristol 025,Bristol
BS13EH,E00174294,Bristol 032B,Bristol 032,Bristol
